trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,0,-88.46839474059479,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",30,0,-56.064360559698926,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",20,0,-7.627253047923839,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",25,18,-19.624039798391532,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-83.92065390103392,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-152.32631029544433,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",25,0,-27.879010766309094,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,6,-13.907417057188175,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,0,-92.39258071877072,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",25,0,-73.6346584381934,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,10,-30.356228384699257,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,0,-70.39189088220553,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-4.4618291200203934,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-7.12292674296127,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
